"delx","dely","alpha","eta","lt","features","kde.bw","kde.lags","l1","l2","pei","pai","kde.n","crime.type","horizon"
600,600,0,1,1,50,500,1,0,0,0.879518072289157,33.160988705432,15,"all","1w"
250,250,0,1,1,50,250,1,0,1e-05,0.605893186003683,51.2405414516812,15,"all","1w"
425,600,0,1,1,100,250,1,0,1e-05,0.865642994241843,35.296578656576,15,"all","2w"
250,250,0,1,1,50,250,1,0,1e-05,0.668454935622318,49.7329575900394,15,"all","2w"
600,600,0,1,1,50,500,1,0,0,0.908471275559883,31.6767756782181,15,"all","1m"
250,250,0,1,1,50,250,1,0,1e-05,0.707746478873239,49.134651405699,15,"all","1m"
600,600,0,1,1,200,500,1,0,0,0.954164613109906,32.3239480617998,15,"all","2m"
250,250,0,1,1,100,250,1,0,0,0.749869451697128,49.3216888725738,15,"all","2m"
600,600,0,1,1,200,500,1,0,0,0.954294975688817,32.2346661108665,15,"all","3m"
250,250,0,1,1,200,250,1,0,0,0.761324041811847,49.2154277228408,15,"all","3m"
287,286,0.801332485293095,1.7466942950746,1.52885174286387,652,395.28703955124,11,1e-06,0.5,0.276595744680851,62.7867679955809,15,"vehicle","1w"
250,257,0.0609950750402104,1.20150797990325,1.28501197762957,633,389.139551795536,9,1e-06,0.01,0.148936170212766,78.2402188407194,15,"vehicle","1w"
265,254,0.956393469265526,3.953215087375,2.83158916854415,499,1173.59859892426,10,1e-06,0.05,0.271739130434783,55.046344646284,15,"vehicle","2w"
321,289,0.0238075132690589,2.34520907452418,0.842352979242141,515,1212.67962022521,5,1e-06,0.001,0.160493827160494,79.3941302831167,15,"vehicle","2w"
425,600,0,1,1,50,250,1,0.1,0.01,0.297297297297297,31.2508095783141,15,"vehicle","1m"
250,250,0.202600504078149,3.53156900737195,0.5,997,366.801833457904,12,0.005,0.05,0.190184049079755,64.0838836554862,15,"vehicle","1m"
559,250,0.0373568170233685,3.02166707007949,4,389,250.213646340158,9,0.005,0.005,0.4,43.9031870647198,15,"vehicle","2m"
260,252,2.22044604925031e-16,2.84525779971689,2.51042952910493,10,305.443630461278,8,0.05,0.005,0.369747899159664,74.9646496496407,15,"vehicle","2m"
250,274,0.272571853082082,4,0.5,86,963.979651427774,9,1e-06,1e-04,0.451086956521739,60.7643724054505,15,"vehicle","3m"
250,250,0.0482539124065506,0.5,2.89231094997184,10,1008.8063740734,10,1e-06,0.001,0.440559440559441,74.1226355589843,15,"vehicle","3m"
600,425,0,1,1,200,250,1,0,1e-06,0.675,57.1428481396963,15,"street","1w"
250,250,0,1,1,50,250,1,0,0,0.407185628742515,73.3968138327654,15,"street","1w"
600,600,0,1,1,100,250,1,0,1e-05,0.78448275862069,48.6848714711309,15,"street","2w"
250,425,0,1,1,50,250,1,0,1e-06,0.581632653061225,62.6205833437217,15,"street","2w"
600,600,0,1,1,500,500,1,0,0,0.873469387755102,48.2989293171753,15,"street","1m"
250,250,0,1,1,50,250,1,0,0,0.552361396303902,62.4468399876536,15,"street","1m"
600,600,0,1,1,50,500,1,0,1e-05,0.921606118546845,50.6359849829068,15,"street","2m"
250,250,0,1,1,500,250,1,0,0,0.628177966101695,64.0768824786659,15,"street","2m"
600,600,0,1,1,500,500,1,0,0,0.925831202046036,48.9381121452022,15,"street","3m"
250,250,0,1,1,50,250,1,0,1e-06,0.634756995581738,59.9308404139666,15,"street","3m"
267,328,0.965305388959959,1.12553524989642,1.1005772195886,672,1384.63756887313,10,1e-04,1e-06,0.636363636363636,128.418373757594,15,"burglary","1w"
250,250,0,1,1,500,250,1,0.001,0.001,0.454545454545455,267.38812525974,15,"burglary","1w"
250,250,1,1.84240358101623,3.720838347878,10,250,12,0.05,0.001,0.75,147.502464322388,15,"burglary","2w"
250,250,0,1,1,50,250,1,0.005,0.01,0.428571428571429,252.108803816327,15,"burglary","2w"
261,250,1,2.321627011156,0.581410958190443,10,320.861332705743,8,1e-06,0.005,0.802816901408451,158.32476414724,15,"burglary","1m"
250,250,0.409575728851703,0.880020391278083,1.15946204495647,292,1074.41919640848,9,1e-06,1e-05,0.563380281690141,182.847246413654,15,"burglary","1m"
250,250,0.980102076661939,0.5,0.5,10,1983.86774821769,12,1e-06,1e-04,0.555555555555556,110.9165556633,15,"burglary","2m"
250,250,0.267038285575249,1.21796293454196,0.5,16,708.523496722211,9,1e-06,0.001,0.488888888888889,188.363554179077,15,"burglary","2m"
425,425,0,1,1,100,800,1,1e-06,0.1,0.478260869565217,64.6234254141794,15,"burglary","3m"
250,250,2.22044604925031e-16,4,0.5,10,250,12,1e-06,0.05,0.47008547008547,183.829336116071,15,"burglary","3m"
