"crime","period","delx","dely","alpha","eta","lt","theta","k","l1","l2","p","kde.bw","kde.n","kde.lags","kde.win","pei","pai"
"all","1m",250,250,0,1,0.5,0,250,0,1e-04,1,250,"all",6,15,0.776824034334764,52.157957983432
"all","1w",250,250,0,2,1.5,0,50,0,0,0.5,250,"all",3,30,0.62406015037594,53.3024799917343
"all","2m",250,250,0,1,0.5,0,250,0,0,0.5,250,"all",6,30,0.796166306695464,51.559195121564
"all","2w",250,250,0,1.5,0.5,0,250,0,0,0.5,250,"all",6,15,0.713203463203463,53.4333982083489
"all","3m",250,250,0,0.5,2,0,250,0,0,0.5,250,"all",6,15,0.821640050242239,52.1745306959841
"burglary","1m",250,250,0,0.5,1,0,250,0,0.01,0.5,250,"all",6,3,0.123287671232877,72.5244504129158
"burglary","1w",250,250,0,1,2,0,250,0,1e-06,0.5,250,"all",6,30,0.2,117.650775114286
"burglary","2m",250,250,0,1,2,0,250,0,0,0.5,250,"all",6,30,0.0948275862068965,48.6525761750806
"burglary","2w",250,250,0,1,0.5,0,250,1e-06,1e-05,1,250,"all",6,30,0.103448275862069,60.8538491970443
"burglary","3m",250,250,0,0.5,0.5,0,250,0,0.005,0.5,250,"all",6,30,0.111111111111111,39.2169250380952
"street","1m",250,250,0,0.5,0.5,0,250,0,0,0.5,250,"all",6,30,0.5625,65.3346550408415
"street","1w",250,250,0,1,2,0,50,0,0,0.5,250,"all",6,15,0.376543209876543,69.9483165884155
"street","2m",250,250,0,1,2,0,250,0,1e-06,0.5,250,"all",6,30,0.670691547749726,67.3960468730814
"street","2w",250,250,0,2,0.5,0,250,0,0,0.5,250,"all",3,20,0.460431654676259,71.985177890194
"street","3m",250,250,0,0.5,0.5,0,250,0,0,0.5,250,"all",6,30,0.695259593679458,65.2830387975018
"vehicle","1m",250,250,0,1,0.5,0,250,0,0,0.5,250,"all",6,3,0.338842975206612,115.399085638414
"vehicle","1w",250,250,0,0.5,1,0,250,0,0,0.5,250,"all",6,3,0.2,117.650775114286
"vehicle","2m",250,250,0,1,1,0,250,0,0,0.5,250,"all",6,3,0.368,78.2071626482246
"vehicle","2w",250,250,0,0.5,2,0,250,0,0,0.5,250,"all",6,3,0.164948453608247,97.0315671045655
"vehicle","3m",250,250,0,0.5,2,0,250,0,0,0.5,250,"all",6,3,0.338345864661654,50.6145782040426
