occ_date,x_coordina,y_coordina,week_no,month_no,day_mo,occ_year,day_no,fyear,call_group_type,case_desc_type
2012-03-12,7688186,676342,260,60,12,2012,1815,2013,4,0
2012-03-15,7650823,670782,259,60,15,2012,1812,2013,4,0
2012-03-15,7653382,698949,259,60,15,2012,1812,2013,4,0
2012-03-20,7648003,692938,259,60,20,2012,1807,2013,4,0
2012-03-23,7651256,684618,258,60,23,2012,1804,2013,4,0
2012-04-24,7641529,683152,254,59,24,2012,1772,2013,4,0
2012-04-26,7685388,687398,253,59,26,2012,1770,2013,4,0
2012-04-28,7686461,693497,253,59,28,2012,1768,2013,4,0
2012-05-03,7668308,671778,252,58,3,2012,1763,2013,4,0
2012-05-09,7647544,682358,251,58,9,2012,1757,2013,4,0
2012-05-11,7652993,675742,251,58,11,2012,1755,2013,4,0
2012-05-19,7644634,682790,250,58,19,2012,1747,2013,4,0
2012-05-30,7663231,674134,248,58,30,2012,1736,2013,4,0
2012-06-06,7642769,687510,247,57,6,2012,1729,2013,4,0
2012-06-28,7673059,666259,244,57,28,2012,1707,2013,4,0
2012-07-01,7645601,694547,244,56,1,2012,1704,2013,4,0
2012-07-11,7689704,672844,242,56,11,2012,1694,2013,4,0
2012-07-13,7662780,694961,242,56,13,2012,1692,2013,4,0
2012-07-22,7671207,662342,241,56,22,2012,1683,2013,4,0
2012-08-05,7671447,677530,239,55,5,2012,1669,2013,4,0
2012-08-13,7622424,711181,238,55,13,2012,1661,2013,4,0
2012-08-25,7646809,689237,236,55,25,2012,1649,2013,4,0
2012-09-01,7651323,689314,235,54,1,2012,1642,2013,4,0
2012-09-06,7637710,688995,234,54,6,2012,1637,2013,4,0
2012-09-15,7680945,669777,233,54,15,2012,1628,2013,4,0
2012-09-20,7688971,672956,232,54,20,2012,1623,2013,4,0
2012-10-04,7632036,708569,230,53,4,2012,1609,2013,4,0
2012-10-07,7642932,715810,230,53,7,2012,1606,2013,4,0
2012-10-21,7684328,695193,228,53,21,2012,1592,2013,4,0
2012-10-24,7647710,691790,227,53,24,2012,1589,2013,4,0
2012-10-29,7677965,683353,227,53,29,2012,1584,2013,4,0
2012-10-30,7627732,656824,227,53,30,2012,1583,2013,4,0
2012-10-31,7639972,681029,226,53,31,2012,1582,2013,4,0
2012-11-01,7674868,663793,226,52,1,2012,1581,2013,4,0
2012-11-17,7644037,698278,224,52,17,2012,1565,2013,4,0
2012-11-18,7640312,682237,224,52,18,2012,1564,2013,4,0
2012-11-21,7672055,674355,223,52,21,2012,1561,2013,4,0
