occ_date,x_coordina,y_coordina,week_no,month_no,day_mo,occ_year,day_no,fyear,call_group_type,case_desc_type
2012-03-07,7646893,698007,260,60,7,2012,1820,2013,3,0
2012-03-13,7649832,700738,260,60,13,2012,1814,2013,3,0
2012-03-13,7659392,667553,260,60,13,2012,1814,2013,3,0
2012-03-14,7669872,693709,259,60,14,2012,1813,2013,3,0
2012-03-01,7644390,680069,261,60,1,2012,1826,2013,3,0
2012-03-07,7640061,666072,260,60,7,2012,1820,2013,3,0
2012-03-09,7652954,675569,260,60,9,2012,1818,2013,3,0
2012-03-11,7643311,683614,260,60,11,2012,1816,2013,3,0
2012-03-11,7665473,696058,260,60,11,2012,1816,2013,3,0
2012-03-14,7677334,695696,259,60,14,2012,1813,2013,3,0
2012-03-16,7671507,665328,259,60,16,2012,1811,2013,3,0
2012-03-21,7655724,679528,258,60,21,2012,1806,2013,3,0
2012-03-21,7659955,679870,258,60,21,2012,1806,2013,3,0
2012-03-22,7671785,661064,258,60,22,2012,1805,2013,3,0
2012-03-23,7671165,691398,258,60,23,2012,1804,2013,3,0
2012-03-24,7643880,681695,258,60,24,2012,1803,2013,3,0
2012-03-25,7678339,707651,258,60,25,2012,1802,2013,3,0
2012-03-26,7644096,685088,258,60,26,2012,1801,2013,3,0
2012-03-26,7668828,670585,258,60,26,2012,1801,2013,3,0
2012-03-29,7669898,694780,257,60,29,2012,1798,2013,3,0
2012-03-30,7624323,710616,257,60,30,2012,1797,2013,3,0
2012-03-30,7648770,688309,257,60,30,2012,1797,2013,3,0
2012-03-30,7666761,687559,257,60,30,2012,1797,2013,3,0
2012-04-01,7667583,663123,257,59,1,2012,1795,2013,3,0
2012-04-01,7679385,687111,257,59,1,2012,1795,2013,3,0
2012-04-04,7681518,683807,256,59,4,2012,1792,2013,3,0
2012-04-05,7673181,676288,256,59,5,2012,1791,2013,3,0
2012-04-07,7639165,685013,256,59,7,2012,1789,2013,3,0
2012-04-10,7679623,666419,256,59,10,2012,1786,2013,3,0
2012-04-11,7678919,673276,255,59,11,2012,1785,2013,3,0
2012-04-17,7646601,696821,255,59,17,2012,1779,2013,3,0
2012-04-19,7674930,669905,254,59,19,2012,1777,2013,3,0
2012-04-23,7689905,685738,254,59,23,2012,1773,2013,3,0
2012-04-24,7644358,685609,254,59,24,2012,1772,2013,3,0
2012-04-25,7632840,710600,253,59,25,2012,1771,2013,3,0
2012-04-25,7692190,676351,253,59,25,2012,1771,2013,3,0
2012-04-26,7680973,683351,253,59,26,2012,1770,2013,3,0
2012-05-01,7665305,688139,253,58,1,2012,1765,2013,3,0
2012-05-01,7672614,663133,253,58,1,2012,1765,2013,3,0
2012-05-02,7670210,666021,252,58,2,2012,1764,2013,3,0
2012-05-02,7693361,678549,252,58,2,2012,1764,2013,3,0
2012-05-03,7642041,697345,252,58,3,2012,1763,2013,3,0
2012-05-03,7645458,701356,252,58,3,2012,1763,2013,3,0
2012-05-03,7678300,686467,252,58,3,2012,1763,2013,3,0
2012-05-11,7644226,686113,251,58,11,2012,1755,2013,3,0
2012-05-11,7668290,671637,251,58,11,2012,1755,2013,3,0
2012-05-12,7658116,689464,251,58,12,2012,1754,2013,3,0
2012-05-12,7678650,686977,251,58,12,2012,1754,2013,3,0
2012-05-13,7635608,708685,251,58,13,2012,1753,2013,3,0
2012-05-13,7638196,705463,251,58,13,2012,1753,2013,3,0
2012-05-16,7656800,672299,250,58,16,2012,1750,2013,3,0
2012-05-16,7685192,684306,250,58,16,2012,1750,2013,3,0
2012-05-21,7633221,708842,250,58,21,2012,1745,2013,3,0
2012-05-21,7643979,681935,250,58,21,2012,1745,2013,3,0
2012-05-22,7624016,709019,250,58,22,2012,1744,2013,3,0
2012-05-23,7689765,681340,249,58,23,2012,1743,2013,3,0
2012-05-24,7654328,679440,249,58,24,2012,1742,2013,3,0
2012-05-24,7658647,670374,249,58,24,2012,1742,2013,3,0
2012-05-25,7659864,675516,249,58,25,2012,1741,2013,3,0
2012-05-25,7668601,662775,249,58,25,2012,1741,2013,3,0
2012-05-26,7641659,681766,249,58,26,2012,1740,2013,3,0
2012-05-27,7674915,681908,249,58,27,2012,1739,2013,3,0
2012-05-28,7634751,710385,249,58,28,2012,1738,2013,3,0
2012-05-31,7643222,676221,248,58,31,2012,1735,2013,3,0
2012-03-14,7673037,667120,259,60,14,2012,1813,2013,3,0
2012-03-15,7684178,674409,259,60,15,2012,1812,2013,3,0
2012-03-23,7646295,697614,258,60,23,2012,1804,2013,3,0
2012-03-23,7681796,680325,258,60,23,2012,1804,2013,3,0
2012-03-28,7636732,680314,257,60,28,2012,1799,2013,3,0
2012-03-30,7679701,684067,257,60,30,2012,1797,2013,3,0
2012-03-31,7678630,695726,257,60,31,2012,1796,2013,3,0
2012-04-01,7644097,685348,257,59,1,2012,1795,2013,3,0
2012-04-02,7681081,697607,257,59,2,2012,1794,2013,3,0
2012-04-06,7622327,692648,256,59,6,2012,1790,2013,3,0
2012-04-06,7668959,669697,256,59,6,2012,1790,2013,3,0
2012-04-06,7670398,663487,256,59,6,2012,1790,2013,3,0
2012-04-07,7648202,686756,256,59,7,2012,1789,2013,3,0
2012-04-07,7693318,676310,256,59,7,2012,1789,2013,3,0
2012-04-10,7638660,688654,256,59,10,2012,1786,2013,3,0
2012-04-10,7641246,681016,256,59,10,2012,1786,2013,3,0
2012-04-12,7679011,676511,255,59,12,2012,1784,2013,3,0
2012-04-15,7629141,707553,255,59,15,2012,1781,2013,3,0
2012-04-19,7645459,705547,254,59,19,2012,1777,2013,3,0
2012-04-20,7657489,674434,254,59,20,2012,1776,2013,3,0
2012-04-21,7648950,682493,254,59,21,2012,1775,2013,3,0
2012-04-23,7654323,674899,254,59,23,2012,1773,2013,3,0
2012-04-24,7652108,676097,254,59,24,2012,1772,2013,3,0
2012-04-24,7665810,662642,254,59,24,2012,1772,2013,3,0
2012-04-25,7633020,707775,253,59,25,2012,1771,2013,3,0
2012-04-27,7634340,708497,253,59,27,2012,1769,2013,3,0
2012-04-27,7656012,694991,253,59,27,2012,1769,2013,3,0
2012-04-29,7671100,666657,253,59,29,2012,1767,2013,3,0
2012-04-29,7675138,681900,253,59,29,2012,1767,2013,3,0
2012-05-01,7634654,676733,253,58,1,2012,1765,2013,3,0
2012-05-01,7673828,663353,253,58,1,2012,1765,2013,3,0
2012-05-02,7655446,680002,252,58,2,2012,1764,2013,3,0
2012-05-02,7668813,684990,252,58,2,2012,1764,2013,3,0
2012-05-04,7630652,710129,252,58,4,2012,1762,2013,3,0
2012-05-04,7668191,684910,252,58,4,2012,1762,2013,3,0
2012-05-06,7651151,671922,252,58,6,2012,1760,2013,3,0
2012-05-08,7676344,692842,252,58,8,2012,1758,2013,3,0
2012-05-08,7686433,687451,252,58,8,2012,1758,2013,3,0
2012-05-09,7645803,689733,251,58,9,2012,1757,2013,3,0
2012-05-10,7674352,683248,251,58,10,2012,1756,2013,3,0
2012-05-13,7672607,667634,251,58,13,2012,1753,2013,3,0
2012-05-16,7646062,705740,250,58,16,2012,1750,2013,3,0
2012-05-22,7638138,707482,250,58,22,2012,1744,2013,3,0
2012-05-22,7644137,671092,250,58,22,2012,1744,2013,3,0
2012-05-22,7656076,689961,250,58,22,2012,1744,2013,3,0
2012-05-25,7671740,686126,249,58,25,2012,1741,2013,3,0
2012-05-26,7643882,670251,249,58,26,2012,1740,2013,3,0
2012-05-26,7660760,686990,249,58,26,2012,1740,2013,3,0
2012-05-26,7666518,681673,249,58,26,2012,1740,2013,3,0
2012-05-27,7689309,685711,249,58,27,2012,1739,2013,3,0
2012-05-29,7643056,682596,249,58,29,2012,1737,2013,3,0
2012-05-30,7651347,660980,248,58,30,2012,1736,2013,3,0
2012-05-30,7659487,688290,248,58,30,2012,1736,2013,3,0
2012-05-30,7680311,694501,248,58,30,2012,1736,2013,3,0
2012-06-01,7644744,690195,248,57,1,2012,1734,2013,3,0
2012-06-02,7679890,674030,248,57,2,2012,1733,2013,3,0
2012-06-04,7644616,684828,248,57,4,2012,1731,2013,3,0
2012-06-04,7674780,687331,248,57,4,2012,1731,2013,3,0
2012-06-05,7644095,684828,248,57,5,2012,1730,2013,3,0
2012-06-06,7686899,683373,247,57,6,2012,1729,2013,3,0
2012-06-10,7650156,666404,247,57,10,2012,1725,2013,3,0
2012-06-12,7644097,685348,247,57,12,2012,1723,2013,3,0
2012-06-12,7650320,687621,247,57,12,2012,1723,2013,3,0
2012-06-13,7667543,663683,246,57,13,2012,1722,2013,3,0
2012-06-17,7632924,710657,246,57,17,2012,1718,2013,3,0
2012-06-19,7637253,686298,246,57,19,2012,1716,2013,3,0
2012-06-19,7642120,687170,246,57,19,2012,1716,2013,3,0
2012-06-19,7686214,684466,246,57,19,2012,1716,2013,3,0
2012-06-21,7643581,675236,245,57,21,2012,1714,2013,3,0
2012-06-22,7648413,682461,245,57,22,2012,1713,2013,3,0
2012-06-23,7664332,667865,245,57,23,2012,1712,2013,3,0
2012-06-23,7673642,673812,245,57,23,2012,1712,2013,3,0
2012-06-25,7675400,673095,245,57,25,2012,1710,2013,3,0
2012-06-26,7673637,667277,245,57,26,2012,1709,2013,3,0
2012-06-27,7673800,686572,244,57,27,2012,1708,2013,3,0
2012-06-28,7640525,664238,244,57,28,2012,1707,2013,3,0
2012-06-28,7677499,700119,244,57,28,2012,1707,2013,3,0
2012-06-01,7643326,670936,248,57,1,2012,1734,2013,3,0
2012-06-04,7640818,686392,248,57,4,2012,1731,2013,3,0
2012-06-04,7641803,682831,248,57,4,2012,1731,2013,3,0
2012-06-04,7648373,687931,248,57,4,2012,1731,2013,3,0
2012-06-06,7676489,695272,247,57,6,2012,1729,2013,3,0
2012-06-07,7641818,681419,247,57,7,2012,1728,2013,3,0
2012-06-07,7662695,672248,247,57,7,2012,1728,2013,3,0
2012-06-07,7676390,666393,247,57,7,2012,1728,2013,3,0
2012-06-07,7680041,676372,247,57,7,2012,1728,2013,3,0
2012-06-08,7653876,682051,247,57,8,2012,1727,2013,3,0
2012-06-09,7681409,673324,247,57,9,2012,1726,2013,3,0
2012-06-10,7632044,655708,247,57,10,2012,1725,2013,3,0
2012-06-10,7664248,661952,247,57,10,2012,1725,2013,3,0
2012-06-12,7644703,717077,247,57,12,2012,1723,2013,3,0
2012-06-12,7673532,670604,247,57,12,2012,1723,2013,3,0
2012-06-14,7657990,681790,246,57,14,2012,1721,2013,3,0
2012-06-14,7667501,693962,246,57,14,2012,1721,2013,3,0
2012-06-15,7664286,663302,246,57,15,2012,1720,2013,3,0
2012-06-16,7686181,694571,246,57,16,2012,1719,2013,3,0
2012-06-17,7677082,676571,246,57,17,2012,1718,2013,3,0
2012-06-18,7651448,662335,246,57,18,2012,1717,2013,3,0
2012-06-20,7660387,677658,245,57,20,2012,1715,2013,3,0
2012-06-22,7631735,708305,245,57,22,2012,1713,2013,3,0
2012-06-22,7655948,686330,245,57,22,2012,1713,2013,3,0
2012-06-23,7668959,669697,245,57,23,2012,1712,2013,3,0
2012-06-24,7671959,670521,245,57,24,2012,1711,2013,3,0
2012-06-25,7631735,708305,245,57,25,2012,1710,2013,3,0
2012-06-25,7655607,678414,245,57,25,2012,1710,2013,3,0
2012-06-25,7680454,688333,245,57,25,2012,1710,2013,3,0
