crime,horizon,delx,dely,alpha,eta,lt,k,l1,l2,lambda,delta,t0,p,pei,pai
all,1m,600,425,0,2,6,200,1e-05,1e-04,0.5,1,0,0.5,0.720909886264217,28.1210045768375
all,1m,600,250,0,2,6,200,1e-05,1e-04,0.5,1,0,0.5,0.64039039039039,29.4823260853238
all,1w,600,600,0,2,2,200,1e-05,1e-04,0.5,1,0,0.5,0.704280155642023,27.3202274254787
all,1w,250,600,0,2,4.5,200,1e-05,1e-04,0.5,1,0,0.5,0.57514450867052,30.6762445478045
all,2m,600,425,0,2,6,200,1e-05,1e-04,0.5,1,0,0.5,0.718861209964413,27.1263116436422
all,2m,600,425,0,2,6,200,1e-05,1e-04,0.5,1,0,0.5,0.718861209964413,27.1263116436422
all,2w,600,600,0,2,2.5,200,1e-05,1e-04,0.5,1,0,0.5,0.70746887966805,26.3864835796727
all,2w,600,250,0,2,5.5,200,1e-05,1e-04,0.5,1,0,0.5,0.610305958132045,29.9508897037129
all,3m,600,425,0,2,6,200,1e-05,1e-04,0.5,1,0,0.5,0.678595096090126,25.3057699582143
all,3m,425,425,0,2,6,200,1e-05,1e-04,0.5,1,0,0.5,0.643262623244697,26.9643141289767
burglary,1m,600,425,0,3.5,4.5,200,1e-05,1e-04,0.5,1,0,0.5,0.21875,56.8596676194421
burglary,1m,250,250,0,2,3,200,1e-05,1e-04,0.5,1,0,0.5,0.211267605633803,124.278987796781
burglary,1w,250,425,0,2.5,2,200,1e-05,1e-04,0.5,1,0,0.5,0.363636363636364,213.529198068384
burglary,1w,250,425,0,2.5,2,200,1e-05,1e-04,0.5,1,0,0.5,0.363636363636364,213.529198068384
burglary,2m,600,425,0,2,6,200,1e-05,1e-04,0.5,1,0,0.5,0.285714285714286,42.4058445481134
burglary,2m,250,250,0,2,6,200,1e-05,1e-04,0.5,1,0,0.5,0.21551724137931,108.134903597689
burglary,2w,250,250,0,6,2.5,200,1e-05,1e-04,0.5,1,0,0.5,0.285714285714286,168.072535877551
burglary,2w,250,250,0,6,2.5,200,1e-05,1e-04,0.5,1,0,0.5,0.285714285714286,168.072535877551
burglary,3m,425,600,0,3.5,2,200,1e-05,1e-04,0.5,1,0,0.5,0.382352941176471,42.3579283395844
burglary,3m,250,250,0,1,3.5,200,1e-05,1e-04,0.5,1,0,0.5,0.256410256410256,99.7040467070218
street,1m,600,600,0,2,5.5,200,1e-05,1e-04,0.5,1,0,0.5,0.822314049586777,44.8073954872594
street,1m,600,600,0,2,5.5,200,1e-05,1e-04,0.5,1,0,0.5,0.822314049586777,44.8073954872594
street,1w,600,600,0,2,2,200,1e-05,1e-04,0.5,1,0,0.5,0.712328767123288,54.4679514417989
street,1w,600,600,0,2,2,200,1e-05,1e-04,0.5,1,0,0.5,0.712328767123288,54.4679514417989
street,2m,425,600,0,3.5,6,200,1e-05,1e-04,0.5,1,0,0.5,0.6875,40.6810190644781
street,2m,250,600,0,3.5,4.5,200,1e-05,1e-04,0.5,1,0,0.5,0.61128526645768,41.7354207191474
street,2w,600,600,0,2,3,200,1e-05,1e-04,0.5,1,0,0.5,0.786324786324786,49.1738701801661
street,2w,600,600,0,2,3,200,1e-05,1e-04,0.5,1,0,0.5,0.786324786324786,49.1738701801661
street,3m,425,600,0,3.5,6,200,1e-05,1e-04,0.5,1,0,0.5,0.633728590250329,36.9623014917973
street,3m,250,600,0,3.5,5.5,200,1e-05,1e-04,0.5,1,0,0.5,0.601390498261877,40.3915371775979
vehicle,1m,600,600,0,6,2,200,1e-05,1e-04,0.5,1,0,0.5,0.225806451612903,19.7211548323755
vehicle,1m,250,250,0,6,1,200,1e-05,1e-04,0.5,1,0,0.5,0.162393162393162,55.0582445116115
vehicle,1w,425,600,0,2.5,2.5,200,1e-05,1e-04,0.5,1,0,0.5,0.178571428571429,61.3531367930151
vehicle,1w,250,250,0,1,1,200,1e-05,1e-04,0.5,1,0,0.5,0.106382978723404,62.5801995288754
vehicle,2m,600,600,0,6,2,200,1e-05,1e-04,0.5,1,0,0.5,0.272727272727273,19.6646472254059
vehicle,2m,250,250,0,2.5,6,200,1e-05,1e-04,0.5,1,0,0.5,0.216,45.5096121502251
vehicle,2w,600,600,0,2,3.5,200,1e-05,1e-04,0.5,1,0,0.5,0.173913043478261,24.8658039190821
vehicle,2w,250,250,0,2,1,200,1e-05,1e-04,0.5,1,0,0.5,0.108695652173913,63.9406386490683
vehicle,3m,250,250,0,4.5,1,200,1e-05,1e-04,0.5,1,0,0.5,0.295454545454545,49.8736981462733
vehicle,3m,250,250,0,4.5,1,200,1e-05,1e-04,0.5,1,0,0.5,0.295454545454545,49.8736981462733
