x,y
7603763.7967565,716426.49114182
7603762.11275256,716430.0120699
7603741.27113023,716583.6035615
7603749.47812023,716978.9661715
7603777.92671973,717135.14512059
7603853.89908355,717274.53445622
7603969.73683671,717383.08307156
7604113.76298372,717449.84875083
7604271.45900515,717468.10119656
7604731.40703515,717447.76214656
7604882.37904861,717417.34519796
7605016.93263815,717342.42476583
7605122.30257579,717230.1086234
7605188.49231454,717091.05231073
7605209.22237045,716938.44823348
7605208.81570443,716917.70830631
7605351.92767683,716889.08160801
7605493.91450034,716806.34895057
7605601.41107288,716682.05318416
7605662.8056359,716529.62071292
7605671.46636083,716365.51726232
7605626.52175852,716207.69413368
7605669.37485682,716206.19748217
7606861.75714951,716165.16697142
7607015.92507157,716135.18043061
7607153.18498857,716058.8478949
7607259.9937715,715943.70092486
7607325.81283667,715801.10081447
7607344.14796412,715645.11759767
7607329.51328164,715285.75492776
7608952.06396558,715231.00018743
7608966.55432979,715595.07064095
7608967.11604517,715606.11094124
7609047.21961128,716898.75558673
7609082.66659246,718209.58484234
7609111.3720948,718363.56130562
7609186.30828112,718501.10157277
7609300.12158641,718608.70867592
7609441.64339396,718675.82301938
7609596.98602325,718695.85860359
7610483.80814118,718670.12613484
7610523.4205984,718738.33104796
7610532.78557194,718755.48704772
7610535.19555436,718869.18464989
7610563.74158436,719004.42149989
7610579.15503746,719060.86617005
7610632.67885746,719219.65350005
7610689.47593834,719335.8112537
7610729.84084615,719396.82797195
7610756.64595623,719441.20532819
7610843.91388099,719548.63177066
7610957.28903412,719628.01820454
7611010.08803298,719654.97231303
7611079.07794124,719739.06042443
7611220.50700149,719825.83280366
7611431.53360318,719911.00618653
7611553.6093399,719976.94490952
7611682.84933022,720025.13059951
7611820.33728698,720036.17132265
7611955.61046694,720009.22688718
7612078.37466994,719946.34774692
7612102.28196994,719929.57694692
7612173.05558353,719869.38582055
7612280.07703338,719759.67388672
7612299.18347291,719746.46997407
7612308.03298747,719734.31718592
7612318.84998675,719734.42267238
7612467.44502447,719687.98698976
7612594.55506297,719598.09930448
7612731.15890123,719465.15152981
7612756.17302868,720421.46085913
7612787.10337047,720581.97836204
7612868.15439701,720723.94063126
7612990.6625463,720832.17328872
7613141.53289543,720895.10732194
7613304.63887971,720906.01569833
7614732.88343429,720766.42318827
7615219.23161816,720824.46937938
7615318.46840724,721547.71270119
7615377.52554787,722044.57062119
7615387.14569387,722099.32338072
7615889.91277387,724250.98095072
7615902.83871421,724296.47051356
7616275.36450421,725405.12725356
7616369.28183351,725570.78265162
7617239.93597351,726589.16253162
7617296.16074686,726645.22557463
7620964.39171965,729763.09905819
7621684.26344885,730939.79313598
7622506.43653868,732431.58168197
7622874.97302903,733934.47142749
7622939.45778251,734084.92920413
7623049.08041648,734206.49689763
7623192.09121487,734286.14448094
7623353.16180779,734315.33506294
7623515.02811693,734290.9399006
7623660.34077649,734215.57374803
7624406.81965649,733656.42824803
7624411.9919304,733652.50129493
7627734.3938704,731095.84680493
7627835.8192642,730990.92751881
7627902.63125877,730861.19192428
7627929.13876377,730717.690986
7627913.08385219,730572.64820983
7627855.83409215,730438.41843637
7626810.94038369,728732.6106762
7628187.6957424,727204.86219107
7628897.02592195,726417.74831178
7629505.01877168,725743.39005268
7630369.68387434,724783.8009471
7632047.83531489,722921.80018043
7632937.47016211,722220.95912872
7633323.25895273,721916.89619308
7634908.34957564,720667.98736482
