call_type,address,state,time,lon,lat
Disturbance - Priority,1200 Block of SW Naito Pkwy,"Portland, OR",1901-12-13T20:45:52.“48364Z,-122.6743217,45.5139997
Hazard - Hazardous Condition,N Columbia Blvd & N Vancouver Ave,"Portland, OR",1901-12-13T20:45:52.“48364Z,-122.7173015,45.5939837
Unwanted Person,200 Block of NW Couch St,"Portland, OR",1901-12-13T20:45:52.“48364Z,-122.6724011,45.5238499
Unwanted Person,4600 Block of NW Barnes Rd,"Portland, OR",1901-12-13T20:45:52.“48364Z,-122.8055255,45.5225122
Animal Problem,7600 Block of SE 72nd Ave,"Portland, OR",1901-12-13T20:45:52.“48364Z,-122.5893358,45.4681893
Theft - Cold,3300 Block of NE 82nd Ave,"Portland, OR",1901-12-13T20:45:52.“48364Z,-122.5787708,45.5464292
Hazard - Hazardous Condition,N Columbia Blvd & N Hurst Ave,"Portland, OR",1901-12-13T20:45:52.“48364Z,-122.7173015,45.5939837
Threat - Priority,1300 Block of SW Washington St,"Portland, OR",1901-12-13T20:45:52.“48364Z,-122.6847608,45.5221152
Unwanted Person,10500 Block of NE Sandy Blvd,"Portland, OR",1901-12-13T20:45:52.“48364Z,-122.5546761,45.558862
Noise Disturbance,5400 Block of SE Rhone St,"Portland, OR",1901-12-13T20:45:52.“48364Z,-122.6071815,45.4961423
Suspicious - Priority,3700 Block of SE 149th Ave,"Portland, OR",1901-12-13T20:45:52.“48364Z,-122.5118981,45.4957205
Hazard - Hazardous Condition,N Interstate PL & N Columbia Blvd,"Portland, OR",1901-12-13T20:45:52.“48364Z,-122.6827141,45.5831091
Theft - Cold,16900 Block of SE Division St,"Portland, OR",1901-12-13T20:45:52.“48364Z,-122.4890268,45.5045851
Threat - Priority,2200 Block of SW 6th,"Portland, OR",1901-12-13T20:45:52.“48364Z,-122.678537,45.506687
Suspicious - Priority,15000 Block of SE Rhone St,"Portland, OR",1901-12-13T20:45:52.“48364Z,-122.5809265,45.4955002
Burglary - Cold,4500 Block of NE 97th Ave,"Portland, OR",1901-12-13T20:45:52.“48364Z,-122.562837,45.5553931
